,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Number
-8.59,-26.49,21,21.23,27.63,1.62,34.88,-58.21,-51.89,-137.53,158.1,13.32,321.62,195.83,237.76,0,0,2
-7.66,-25.16,21.47,21.72,26.03,1.85,33.95,-33.13,-60.56,-157.32,171.8,13.03,248.58,252.01,250.87,0,0,2
-7.15,-23.43,20.05,20.28,24.25,1.7,31.65,-30.84,-68.36,-154.23,171.5,13.73,203.21,272.66,249.51,0,0,2
-7.91,-26.95,7.85,8.2,27.76,3.58,29.17,-59.76,-73.35,-114.32,148.39,15.56,199.7,243.17,228.68,0,0,2
-9.72,-29.08,-5.25,-4.91,30.46,4,31.11,-61.18,-73.37,-86.94,129.16,15.42,172.74,253.75,226.75,0,0,2
-6.12,-25.14,-17.33,-16.81,25.36,6.64,31.14,-55.69,-103.75,-44.56,125.9,16.71,169.44,241.67,217.6,0,0,2
-7.34,-29,-15.12,-14.56,29.37,6.98,33.52,-58.08,-112.5,-14.62,127.45,15.66,185.29,237.5,220.1,0,0,2
-12.58,-25.36,-18.02,-18,28.3,0.97,33.56,-61.44,-103.3,-11.59,120.75,13.91,195.14,241.92,226.32,0,0,2
-10.03,-27.5,-16.36,-16.06,29.15,4.03,33.53,-63.57,-99.02,-10.99,118.18,13.75,181.85,242.02,221.96,0,0,2
-4.69,-28.04,-16.53,-15.79,27.38,9.09,32.89,-74.91,-90.5,18.89,118.99,13.46,153.44,241.94,212.44,0,0,2
-11.67,-26.92,-11.69,-11.57,29.33,1.9,31.59,-60.35,-77.63,7.66,98.63,13.71,133.21,232.28,199.26,0,0,2
-13.38,-26.33,-14.6,-14.62,29.52,0.35,32.94,-61.93,-81.95,10.19,103.22,12.57,146.56,229.73,202.01,0,0,2
-14.77,-28.26,-11.4,-11.48,31.86,-0.36,33.87,-64,-85.36,16.89,108.01,12.64,148.86,240.19,209.75,0,0,2
-15.95,-26.42,-13.33,-13.56,30.69,-2.04,33.61,-56.31,-91.66,22.13,109.82,13.81,138.16,242.85,207.95,0,0,2
-15.11,-26.4,-15.99,-16.15,30.32,-1.06,34.37,-50.73,-98.08,19.06,112.05,14.68,130.21,229.63,196.49,0,0,2
-14.95,-27.2,-13.46,-13.58,30.98,-0.79,33.83,-62.26,-79.77,-3.77,101.26,15.09,118.37,225.98,190.11,0,0,2
-16.19,-32.12,-19.86,-19.87,35.96,0.73,41.09,-51.15,-75.8,-6.11,91.65,13.26,120.56,228.27,192.36,0,0,2
-11.07,-34.73,-18.88,-18.39,36.14,6.36,41.05,-64.93,-56.32,-12.71,86.89,10.5,124.27,218.3,186.96,0,0,2
-9.89,-29.74,-17,-16.61,31.12,5.15,35.65,-75.93,-51.81,-5.15,92.07,9.96,126.51,221.63,189.92,0,0,2
-7.43,-30.24,-19.33,-18.72,30.53,7.78,36.65,-84.97,-53.91,8.74,101.01,10.52,127.43,226.31,193.35,0,0,2
-7.64,-30.31,-21.07,-20.47,30.69,7.78,37.7,-91,-52.09,12.42,105.58,10.31,128.18,220.74,189.88,0,0,2
-10.98,-28.29,-17.91,-17.66,30.27,3.63,35.23,-64.23,-70.78,11.51,96.27,10.73,129.51,230.53,196.85,0,0,2
-8.2,-26.98,-17.52,-17.1,27.91,5.55,33.2,-66.05,-66.37,7.94,93.97,11.91,129.28,227.73,194.91,0,0,2
-12.01,-27.8,-14.12,-13.98,30.27,2.17,33.42,-66.47,-61.12,-4.75,90.43,11.83,129.54,223.26,192.02,0,0,2
-13.44,-24.9,-14.29,-14.37,28.25,-0.34,31.7,-71.68,-65.07,0.02,96.81,11.75,136.09,229.29,198.22,0,0,2
-15.58,-27.25,-13.96,-14.13,31.28,-1.31,34.35,-74.14,-66.04,5,99.41,12.05,139.27,233.6,202.16,0,0,2
-11.63,-27.91,-14.6,-14.42,30.21,2.59,33.58,-67.24,-59.69,-7.44,90.22,12.55,130.85,223.74,192.78,0,0,2
-13.9,-27.23,-16.33,-16.36,30.56,0.41,34.66,-65.48,-67.14,-7.37,94.07,13.51,123.47,214.18,183.94,0,0,2
-13.88,-26.56,-16,-16.05,29.94,0.12,33.97,-56.04,-64.54,-16.21,87,12.33,133.43,216.04,188.5,0,0,2
-12.51,-28.22,-11.49,-11.39,30.86,1.66,32.94,-71.38,-62.95,-9.8,95.67,14.17,131.09,222.24,191.86,0,0,2
-15.19,-25.98,-13.36,-13.55,29.98,-1.55,32.93,-69.73,-62.64,-9.24,94.19,14.32,132.89,222.26,192.47,0,0,2
-12.13,-28.12,-11.26,-11.13,30.61,1.94,32.63,-51.45,-68.08,-14.84,86.62,13.16,138.84,224.55,195.98,0,0,2
-15.48,-22.97,-10.23,-10.57,27.37,-3.36,29.53,-48.92,-76.02,-15.44,91.71,13.87,137.62,235.82,203.08,0,0,2
-16.5,-21.59,-14.04,-14.49,26.55,-4.53,30.58,-63.55,-69.47,-19.41,96.13,14.76,133.99,239.37,204.24,0,0,2
-16.06,-22.44,-15.17,-15.55,27.13,-3.67,31.49,-57.64,-73.96,-22.37,96.4,15.62,127.13,241.73,203.53,0,0,2
-18.07,-24.69,-10.13,-10.61,30.02,-4.98,32.23,-55.25,-69.02,-30.62,93.57,14.08,125.84,227,193.28,0,0,2
-17.28,-24.22,-12.64,-13.06,29.26,-4.24,32.32,-57.91,-68.91,-31.99,95.52,13.52,128.49,222.86,191.4,0,0,2
-16,-22.03,-15.41,-15.8,26.73,-3.77,31.28,-61.12,-69.13,-31.99,97.67,13.9,130.01,232.59,198.4,0,0,2
-16.69,-24.38,-10.88,-11.26,29.16,-3.8,31.49,-64.63,-60.99,-38.64,96.9,13.56,128.42,236.08,200.19,0,0,2
-18.5,-22.84,-11.43,-12,28.53,-6.04,31.54,-70.75,-64.65,-34.07,101.72,14.35,127.36,227.9,194.39,0,0,2
-18.25,-23.68,-18.57,-19.07,29.19,-4.83,35.2,-54.13,-86.15,-1.77,101.76,13.71,130.37,233.18,198.91,0,0,2
-14.18,-27.61,-16.46,-16.5,31.01,0.32,35.13,-45.47,-84.69,-6.57,96.35,12.76,128.62,220.05,189.57,0,0,2
-16.25,-24.34,-18.28,-18.59,28.94,-2.77,34.51,-54.03,-71.93,-13.17,90.92,12.96,126.11,217.7,187.17,0,0,2
-16.88,-25.66,-18.54,-18.85,30.4,-2.76,35.87,-65.78,-71.13,-2.77,96.92,13.63,123.65,219.43,187.51,0,0,2
-16.85,-24.64,-17.66,-18.01,29.46,-3.24,34.68,-63.4,-84.36,5.51,105.67,13.43,120.04,206.75,177.84,0,0,2
-15.32,-26.79,-19.66,-19.81,30.76,-0.78,36.59,-50.09,-87.7,0.62,101,13.22,119.57,213.72,182.34,0,0,2
-16.58,-26.12,-22.59,-22.84,30.69,-1.94,38.31,-44.78,-85.41,-3.02,96.48,14.48,113.92,213.49,180.3,0,0,2
-12.92,-24,-22.63,-22.68,27.21,0.47,35.43,-51.99,-84.59,1.37,99.3,13.82,113.81,215.13,181.36,0,0,2
-16.95,-26.75,-19.43,-19.7,31.41,-2.29,37.15,-58.47,-89.11,7.57,106.85,13.09,116.66,220.07,185.6,0,0,2
-16.31,-26.78,-21.95,-22.16,31.17,-1.48,38.27,-57.59,-91.87,4.11,108.5,13.01,116.19,221.49,186.39,0,0,2
-15.25,-24.24,-24.92,-25.13,28.42,-1.34,37.96,-55,-88.34,-7.51,104.34,12.47,111.97,213.81,179.86,0,0,2
-14.83,-24.83,-26.03,-26.19,28.78,-0.62,38.92,-57.84,-91.59,-4.37,108.42,11.86,111.58,203.69,172.99,0,0,2
-16.28,-27.92,-20.73,-20.91,32.18,-1.08,38.39,-65.95,-86.76,1.99,109,12.02,111.06,207.37,175.27,0,0,2
-17.6,-23.91,-21.46,-21.89,29.11,-3.9,36.63,-60.98,-80.59,-4.61,101.17,11.99,111.67,206.33,174.78,0,0,2
-15.71,-22.81,-25.07,-25.37,27.32,-2.35,37.36,-58.41,-77.7,-9.71,97.69,12.04,109.46,205.75,173.65,0,0,2
-15.39,-23.92,-22.57,-22.81,28.19,-1.8,36.31,-68.5,-80.91,-3.53,106.07,11.89,109.05,206.13,173.77,0,0,2
-15.42,-25.34,-22.97,-23.16,29.49,-1.2,37.51,-75.47,-87.7,5.17,115.82,11.49,113.79,204.81,174.47,0,0,2
-13.46,-24.52,-23.99,-24.06,27.91,0.31,36.85,-52,-87.45,1.41,101.75,12.66,109.03,213.77,178.86,0,0,2
-12.65,-20.82,-29.7,-29.82,24.22,-0.02,38.41,-49.26,-77.3,-18.67,93.54,10.26,113.89,201.75,172.46,0,0,2
-10.96,-20.35,-29.22,-29.22,23.08,1.26,37.25,-53.9,-76.17,-21.5,95.75,10.95,110.93,202.42,171.93,0,0,2
-15.6,-21.26,-26.79,-27.13,25.87,-2.75,37.59,-58.17,-75.18,-13.44,96,12.72,109.74,217.25,181.41,0,0,2
-12.92,-18.22,-30.45,-30.68,21.97,-1.3,37.76,-63.68,-71.85,-13.75,96.99,12.51,113.29,224.63,187.52,0,0,2
-17.12,-18.74,-27.14,-27.69,24.23,-5.16,37.16,-68.08,-76.59,-21.55,104.72,11.16,112.72,215.96,181.54,0,0,2
-16.12,-21.78,-28.24,-28.6,26.56,-2.88,39.14,-53.88,-89.12,-6.72,104.36,11.81,109.71,223.27,185.41,0,0,2
-16.01,-18.11,-32.55,-33.02,23.19,-3.96,40.54,-63.9,-77.76,-12.58,101.43,11.26,106.96,217.16,180.43,0,0,2
-18.4,-22.67,-26.74,-27.26,28.33,-4.7,39.59,-70.29,-75.07,-9.83,103.31,11.74,106.77,212.22,177.07,0,0,2
-17.85,-19.95,-28.05,-28.61,25.64,-5.23,38.78,-74.7,-79.43,-1.93,109.05,11.95,106.8,208.1,174.33,0,0,2
-17.88,-22.16,-29.49,-29.97,27.65,-4.2,40.99,-78.31,-82.5,3.4,113.8,11.41,104.55,199.11,167.59,0,0,2
-19.9,-20.26,-26.73,-27.45,26.78,-7.07,39,-77.54,-86.39,10.41,116.55,11.33,102.23,188.53,159.76,0,0,2
-20.25,-20.22,-26.56,-27.31,26.89,-7.41,39.04,-87.95,-95.47,24.06,132.01,11.2,107.47,193.14,164.58,0,0,2
-19.34,-19.47,-24.38,-25.1,25.83,-7.1,36.71,-93.16,-106.36,31.36,144.83,11.98,113.93,202.32,172.86,0,0,2
-20.63,-17.22,-23.6,-24.51,24.33,-9.28,35.76,-91.31,-104.52,27.04,141.4,11.58,121.46,201.94,175.11,0,0,2
-18.41,-17.45,-25.68,-26.39,23.6,-7,36.09,-81.67,-105.61,21.86,135.28,11.27,123.15,196.95,172.35,0,0,2
-18.78,-20.07,-23.4,-24.05,26.14,-6.43,36.09,-73.7,-109.7,24.28,134.37,11.52,120.57,195.2,170.32,0,0,2
-17.41,-20.77,-24.92,-25.44,26.19,-4.77,36.82,-74.56,-102.79,29.54,130.37,11.28,120.99,196.53,171.35,0,0,2
-15.76,-23.1,-25.65,-25.94,27.6,-2.23,37.95,-63.5,-107.04,25.04,126.95,11.65,117.7,196.39,170.16,0,0,2
-15.86,-22.31,-28.11,-28.44,26.93,-2.44,39.24,-57.19,-104.88,18.8,120.93,11.52,114.44,193.24,166.97,0,0,2
-15.55,-20.76,-30.08,-30.43,25.39,-2.65,39.72,-63.53,-99.57,14.84,119.03,10.91,111.84,191.35,164.85,0,0,2
-16.9,-21.77,-29.07,-29.49,26.88,-3.52,40.06,-65.44,-93.56,10.17,114.63,10.8,109.64,192.82,165.1,0,0,2
-15.89,-18.44,-29.06,-29.53,23.43,-4.02,37.91,-57.42,-86.79,0.49,104.07,11.48,113.61,196.87,169.12,0,0,2
-13.68,-19.36,-30.52,-30.77,23.33,-1.51,38.65,-49.26,-80.01,-13.1,94.87,11.95,126.69,200.77,176.07,0,0,2
-10.69,-20.17,-33.05,-33.03,22.8,1.75,40.17,-28.61,-79.02,-21.41,86.73,11.09,128.68,201.4,177.16,0,0,2
-8.45,-18.43,-33.44,-33.3,20.28,3.07,39.11,-24.26,-73.06,-17.86,79.03,10.85,132.24,202.7,179.21,0,0,2
-9.38,-18.06,-36.5,-36.44,20.33,2.35,41.79,-10.06,-58.45,-13.93,60.92,12.06,135.94,210.62,185.73,0,0,2
-6.96,-16.86,-35.72,-35.51,18.22,3.95,40.1,-3.08,-40.71,-11.36,42.37,12.43,151.26,220.03,197.11,0,0,2
-12.49,-15.07,-33.81,-34.11,18.94,-1.96,39.06,-12.07,-16.82,-5.81,21.5,11.07,207.91,219.76,215.81,0,0,2
-16.28,-11.35,-34.75,-35.48,17.18,-6.87,40.01,-27.06,11.07,1.43,29.27,9.99,292,199.85,230.57,0,0,2
-22.48,-14.38,-25.37,-26.52,22.54,-12.01,36.82,-83.61,-8.57,-5.07,84.21,10.39,247.55,156.73,187,0,0,2
-22.96,-21.86,-21.4,-22.32,29.52,-9.63,38.25,-104.16,-53.6,17.51,118.44,10.16,149.11,191.45,177.34,0,0,2
-24.14,-21.3,-19.7,-20.75,29.51,-11.09,37.74,-109.71,-87.93,35.48,145.01,9.86,120.73,208,178.91,0,0,2
-22.47,-20.95,-19.56,-20.49,28.49,-9.74,36.42,-110.18,-101.42,39.56,154.89,9.79,134.79,204.67,181.38,0,0,2
-22.11,-21.3,-21.81,-22.69,28.65,-9.06,37.66,-98.5,-107.73,39.95,151.34,10.34,137.76,208.11,184.66,0,0,2
-17.62,-17.47,-24.34,-24.99,23.29,-6.41,34.76,-67.33,-118.33,38.88,141.59,11.94,138.98,211.24,187.15,0,0,2
-9.12,-18.76,-28.26,-28.18,20.85,2.15,35.12,-24.74,-109.89,11.58,113.23,13.61,131.19,226.06,194.44,0,0,2
-7.3,-17.49,-32.35,-32.16,18.93,3.61,37.49,-16.36,-78.97,-17.62,82.54,11.38,125.65,219.46,188.19,0,0,2
-14.95,-16.81,-30.87,-31.32,21.56,-3.71,38.2,-33.54,-59.45,-21.74,71.63,11.05,118.86,208.16,178.39,0,0,2
-18.57,-16.48,-29.38,-30.12,22.79,-7.25,38.46,-58.48,-55.79,-14.17,82.06,10.93,120.96,199.64,173.42,0,0,2
-21.76,-18.36,-25.89,-26.83,25.84,-9.64,38.48,-76.07,-63.06,-5.8,98.98,9.95,128.55,196.19,173.64,0,0,2
-21.79,-20.71,-22.3,-23.17,27.99,-8.99,37.43,-80.65,-80.1,11.5,114.25,11.34,123.35,200.06,174.49,0,0,2
-22.34,-19.25,-22.3,-23.27,26.89,-10.1,36.97,-84.07,-78.95,8.99,115.69,10.68,125.05,198.46,173.99,0,0,2
-21.19,-19.9,-21.98,-22.84,27,-8.82,36.45,-81.41,-84.38,7.45,117.49,10.35,133.35,202.77,179.63,0,0,2
-21.67,-21.22,-20.71,-21.56,28.39,-8.81,36.72,-76.77,-84.76,12.58,115.05,10.14,138.6,211.04,186.89,0,0,2
-21.06,-21.57,-21.48,-22.27,28.46,-8.04,37.02,-76.54,-85.13,11.13,115.01,10.64,136.98,209.68,185.44,0,0,2
-20.85,-23.46,-16.44,-17.16,30.08,-7.5,35.43,-78.21,-90.89,3.66,119.97,11.53,132.32,200.92,178.06,0,0,2
-18.66,-22.36,-17.15,-17.73,28.15,-5.92,33.79,-74.11,-92.39,9.9,118.85,11.44,129.68,204.58,179.61,0,0,2
-16.34,-18.65,-22.63,-23.15,23.81,-4.91,33.57,-80.25,-82.78,11.68,115.88,12.32,124.27,206.68,179.21,0,0,2
-17.99,-22.66,-17.72,-18.24,28.14,-5.14,33.93,-79.1,-89.24,12.13,119.87,12.61,121.82,210.94,181.24,0,0,2
-17.99,-22.53,-18.61,-19.13,28.03,-5.12,34.32,-77.28,-93.83,9.54,121.93,12.25,124.8,213.46,183.91,0,0,2
-17.24,-19.54,-17.2,-17.78,25,-5.83,31.22,-79.52,-91.92,8.37,121.83,11.45,131.87,214.89,187.21,0,0,2
-19.14,-20.1,-19.57,-20.27,26.31,-7.1,33.96,-83.41,-92.28,15.11,125.3,11.29,136.9,216.83,190.18,0,0,2
-19.71,-19.96,-19.09,-19.84,26.43,-7.72,33.93,-83.69,-100,29.04,133.59,12.8,134.16,217.39,189.65,0,0,2
-19.03,-18.97,-18.82,-19.56,25.24,-7.55,32.81,-81.16,-106.01,34.08,137.79,13.07,133.09,214.43,187.32,0,0,2
-16.96,-17.71,-17.91,-18.53,23.22,-6.28,30.36,-80.31,-103.81,20.2,132.79,13.16,131.24,216.58,188.13,0,0,2
-17.72,-16.71,-16.47,-17.19,22.64,-7.51,29.4,-77.1,-101.81,17.16,128.86,12.71,133.89,223.27,193.48,0,0,2
-17.18,-16.95,-17.96,-18.63,22.63,-6.81,30.09,-67.09,-102.35,18.1,123.71,12.69,132.33,219.12,190.19,0,0,2
-18.58,-15.57,-16.76,-17.58,21.97,-8.76,29.47,-56.16,-104.73,10.62,119.31,13.2,126.11,204.93,178.66,0,0,2
-21.45,-13.19,-19.59,-20.73,21.02,-12.1,31.9,-57.33,-109.86,9,124.24,12.4,131.17,203.75,179.55,0,0,2
