,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Index
15.04,-15.26,16.23,16.2,21.42,1.1,26.88,-235.42,246.47,4.37,340.86,2.25,532.63,360.79,418.07,0,0,0
11.38,-19.95,16.87,17.37,22.09,-4.72,28.5,-233.7,221.08,30.26,323.12,0.55,1451.41,1107.76,1222.31,0,0,0
9.37,-22.68,18.19,19,22.56,-7.95,30.55,-184.58,170.6,19.85,252.12,0.05,2150.16,1550.88,1750.64,0,0,0
8.99,-23.83,19.34,20.24,23.09,-8.93,31.98,-155.76,149.36,13.27,216.21,0.14,2361.5,1717.9,1932.44,0,0,0
12.74,-24.04,18.94,19.62,25.93,-6.5,33.15,-181.3,176.32,16.07,253.41,0.15,2260.94,1732.86,1908.89,0,0,0
9.51,-21.61,23.42,24.12,21.92,-6.61,33.26,-198.25,196.8,-10.49,279.54,0.15,2304.66,1676.22,1885.7,0,0,0
9.98,-22.43,23.3,24.03,22.82,-6.88,33.85,-115.98,149.67,-25.97,191.12,0.12,2481.51,1737.43,1985.46,0,0,0
11.41,-21.13,23.75,24.31,22.94,-4.92,33.78,-130.18,155.7,-32.16,205.48,0.13,2329.43,1603.47,1845.46,0,0,0
11,-20.13,23.7,24.21,21.94,-4.49,32.98,-115.44,121.83,-30.02,170.5,0.12,2391.67,1757.62,1968.97,0,0,0
11.52,-20.4,22.68,23.18,22.51,-4.42,32.61,-26.46,68.42,8.56,73.86,0.12,2317.26,1830.82,1992.97,0,0,0
13.9,-18.88,21.31,21.57,23.14,-1.8,31.69,55.02,35.48,71.62,97.04,0.15,1760.17,1592.18,1648.18,0,0,0
11.58,-19.31,21.97,22.4,21.78,-3.67,31.45,31.44,6.47,106.69,111.42,0.2,1176.8,1431.5,1346.6,0,0,0
10.5,-20.22,21.26,21.82,21.65,-5.13,31.16,-27.67,-13.13,133.42,136.89,0.19,1432.66,1347.97,1376.2,0,0,0
10.16,-19.63,21.84,22.39,20.99,-4.89,31.07,-7.68,-18.37,117.39,119.07,0.18,1547.38,1359.98,1422.45,0,0,0
10.66,-20.57,21.14,21.71,22,-5.28,31.36,-14.01,-15.31,103.34,105.41,0.14,1762.4,1483.89,1576.73,0,0,0
11.06,-21.19,21.02,21.61,22.73,-5.45,31.83,-30.81,1.22,81.24,86.9,0.12,1917.22,1621.63,1720.16,0,0,0
11.46,-20.62,20.73,21.26,22.62,-4.8,31.41,-21.73,24.42,53.77,62.93,0.11,2032.4,1778.87,1863.38,0,0,0
12.22,-20.73,20.55,21.04,23.23,-4.36,31.65,-14.59,31.74,47.58,59.02,0.09,2380.95,2022.71,2142.12,0,0,0
12.21,-19.96,20.65,21.09,22.69,-3.81,31.21,-6.98,21.87,-9.09,24.69,0.09,2296.05,2030.64,2119.11,0,0,0
12.55,-19.41,20.08,20.46,22.54,-3.24,30.62,-14.13,20.8,-26.48,36.52,0.08,2603.81,2261.53,2375.62,0,0,0
12.5,-19.74,19.09,19.51,22.74,-3.6,30.18,17.02,20.14,-8.56,27.72,0.08,2612.07,2192.55,2332.39,0,0,0
12.98,-20.23,17.87,18.29,23.43,-3.72,29.95,15.01,27.4,7.12,32.04,0.07,2226.28,2171.07,2189.47,0,0,0
13.09,-19.51,18.21,18.58,23,-3.11,29.73,-30.52,41.43,4.5,51.66,0.07,1929.28,2397.38,2241.34,0,0,0
12.78,-19.08,18.8,19.15,22.47,-2.96,29.67,-18.49,42.72,2.5,46.61,0.08,2032.16,2398.88,2276.64,0,0,0
11.64,-19.16,19.27,19.7,21.72,-3.77,29.56,-10.17,30.94,5.14,32.97,0.08,1839.59,2266.49,2124.19,0,0,0
10.73,-19.42,19.58,20.08,21.25,-4.55,29.59,-0.49,27.32,-13.42,30.44,0.06,2880.17,2527.38,2644.98,0,0,0
10.08,-19.64,19.78,20.34,20.93,-5.15,29.64,-11.52,16.08,-6.88,20.94,0.07,3080.06,2444.93,2656.64,0,0,0
9.85,-19.69,19.91,20.49,20.81,-5.33,29.69,-13.56,10.09,14.52,22.28,0.07,2354.47,2225.93,2268.78,0,0,0
